Code,Date,CompanyName,CompanyNameEnglish,Sector17Code,Sector17CodeName,Sector33Code,Sector33CodeName,ScaleCategory,MarketCode,MarketCodeName
14920,2023-03-14 00:00:00+00:00,三菱ＵＦＪ国際投信株式会社　ＭＡＸＩＳ　ＪＰＸ　日経中小型株指数上場投信,MAXIS JPX-Nikkei Mid and Small Cap Index ETF,99,その他,9999,その他,-,109,その他
14930,2023-03-14 00:00:00+00:00,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,One ETF JPX-Nikkei Mid Small,99,その他,9999,その他,-,109,その他
14940,2023-03-14 00:00:00+00:00,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　高配当日本株,One ETF High Dividend Japan Equity,99,その他,9999,その他,-,109,その他
14950,2023-03-14 00:00:00+00:00,日興アセットマネジメント株式会社　上場インデックスファンドアジアリート,Listed Index Fund Asian REIT,99,その他,9999,その他,-,109,その他
14960,2023-03-14 00:00:00+00:00,ブラックロック・ジャパン株式会社　ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,iShares USD Investment Grade Corporate Bond JPY Hedged ETF,99,その他,9999,その他,-,109,その他
14970,2023-03-14 00:00:00+00:00,ブラックロック・ジャパン株式会社　ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,iShares USD High Yield Corporate Bond JPY Hedged ETF,99,その他,9999,その他,-,109,その他
14980,2023-03-14 00:00:00+00:00,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　ＥＳＧ,One ETF ESG,99,その他,9999,その他,-,109,その他
14990,2023-03-14 00:00:00+00:00,三菱ＵＦＪ国際投信株式会社　ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,MAXIS Japan Equity High Dividend 70 Market Neutral ETF,99,その他,9999,その他,-,109,その他
15400,2023-03-14 00:00:00+00:00,三菱ＵＦＪ信託銀行株式会社　純金上場信託（現物国内保管型）,Japan Physical Gold ETF,99,その他,9999,その他,-,109,その他
15410,2023-03-14 00:00:00+00:00,三菱ＵＦＪ信託銀行株式会社　純プラチナ上場信託（現物国内保管型）,Japan Physical Platinum ETF,99,その他,9999,その他,-,109,その他
15420,2023-03-14 00:00:00+00:00,三菱ＵＦＪ信託銀行株式会社　純銀上場信託（現物国内保管型）,Japan Physical Silver ETF,99,その他,9999,その他,-,109,その他
15430,2023-03-14 00:00:00+00:00,三菱ＵＦＪ信託銀行株式会社　純パラジウム上場信託（現物国内保管型）,Japan Physical Palladium ETF,99,その他,9999,その他,-,109,その他
15450,2023-03-14 00:00:00+00:00,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ?１００（為替ヘッジなし）連動型上場投信,NEXT FUNDS NASDAQ-100(R) (Unhedged) Exchange Traded Fund,99,その他,9999,その他,-,109,その他
15460,2023-03-14 00:00:00+00:00,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,NEXT FUNDS DJIA (Unhedged) Exchange Traded Fund,99,その他,9999,その他,-,109,その他
15470,2023-03-14 00:00:00+00:00,日興アセットマネジメント株式会社　上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,Listed Index Fund US Equity (S&P500),99,その他,9999,その他,-,109,その他
15500,2023-03-14 00:00:00+00:00,三菱ＵＦＪ国際投信株式会社　ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,MAXIS Global Equity (MSCI Kokusai) ETF,99,その他,9999,その他,-,109,その他
15510,2023-03-14 00:00:00+00:00,シンプレクス・アセット・マネジメント株式会社　東証スタンダードＴＯＰ２０ＥＴＦ,TSE Standard Top 20 ETF,99,その他,9999,その他,-,109,その他
15520,2023-03-14 00:00:00+00:00,三菱ＵＦＪ国際投信株式会社　国際のＥＴＦ　ＶＩＸ短期先物指数,KOKUSAI S&P500 VIX SHORT-TERM FUTURES INDEX ETF,99,その他,9999,その他,-,109,その他
15540,2023-03-14 00:00:00+00:00,日興アセットマネジメント株式会社　上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,Listed Index Fund World Equity (MSCI ACWI) ex Japan,99,その他,9999,その他,-,109,その他
15550,2023-03-14 00:00:00+00:00,日興アセットマネジメント株式会社　上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ‐ＲＥＩＴ）,Listed Index Fund Australian REIT (S&P/ASX200 A-REIT),99,その他,9999,その他,-,109,その他
15570,2023-03-14 00:00:00+00:00,ステート・ストリート・グローバル・アドバイザーズ・トラスト・カンパニー　ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,SPDR S&P500 ETF Trust,99,その他,9999,その他,-,109,その他
15590,2023-03-14 00:00:00+00:00,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,NEXT FUNDS Thai Stock SET50 Exchange Traded Fund,99,その他,9999,その他,-,109,その他
15600,2023-03-14 00:00:00+00:00,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,NEXT FUNDS FTSE Bursa Malaysia KLCI Exchange Traded Fund,99,その他,9999,その他,-,109,その他
